Pos,name,population,popGrowth,perCapitaGdp,migration,infantMortality,lifeExpectancy,healthExpeditures,obesity,education,unemployment
41,Afghanistan,32564342,2.32,2000,-1.51,115.08,50.87,8.6,2.2,,35
137,Albania,3029278,0.3,11100,-3.3,12.75,78.13,6,21.3,3.3,13.3
34,Algeria,39542166,1.84,14300,-0.92,20.98,76.59,5.2,16,4.3,9.7
208,American Samoa,54343,-0.3,8000,-21.13,8.69,75.14,null,74.6,null,29.8
201,Andorra,85580,0.12,37200,0,3.65,82.72,8.3,25.2,null,4
59,Angola,19625353,2.77,8200,0.46,78.26,55.63,3.5,6.4,3.5,null
221,Anguilla,16418,2.03,12200,12.18,3.37,81.31,null,null,2.8,8
198,Antigua and Barbuda,92436,1.24,22600,2.21,12.87,76.33,5.2,25.6,2.4,11
33,Argentina,43431886,0.93,22100,0,9.69,77.69,8.5,29.7,6.3,7.7
136,Armenia,3056382,-0.15,7400,-5.8,13.51,74.37,4.5,24,3.3,15.9
190,Aruba,112162,1.33,25300,8.92,11.37,76.56,null,null,6,6.9
56,Australia,22751014,1.07,46600,5.65,4.37,82.15,9.1,26.8,5.6,6
95,Austria,8665550,0.55,45400,5.56,3.45,81.39,11.5,20.9,5.9,4.5
92,Azerbaijan,9780780,0.96,17900,0,25.68,72.2,5.4,23.8,2.4,5.4
180,"Bahamas, The",324597,0.84,25100,0,11.92,72.2,7.5,34.7,null,16.2
156,Bahrain,1346613,2.41,51400,13.09,9.35,78.73,3.9,32.9,2.6,3.8
9,Bangladesh,168957745,1.6,3400,0.46,44.09,70.94,3.6,1.1,2.2,5
181,Barbados,290604,0.31,16200,-0.3,10.42,75.18,6.3,34.7,5.6,11.5
93,Belarus,9589689,-0.2,18200,0.7,3.62,72.48,5,24.3,5.1,1
78,Belgium,11323973,0.76,41700,5.87,3.41,80.88,10.8,22.1,6.6,8.5
178,Belize,347369,1.87,8100,0,19.82,68.59,5.8,33.7,6.6,15.5
88,Benin,10448647,2.78,1900,0,55.68,61.47,4.5,6,5.3,null
204,Bermuda,70196,0.5,86000,1.88,2.48,81.15,null,null,2.6,8
165,Bhutan,741919,1.11,7700,0,35.91,69.51,3.8,5.3,4.7,2.9
82,Bolivia,10800882,1.56,6200,-0.62,37.49,68.86,5.8,17.9,6.9,7.3
129,Bosnia and Herzegovina,3867055,-0.13,9800,-0.38,5.72,76.55,9.9,26.5,null,44.3
145,Botswana,2182719,1.21,16000,4.56,8.93,54.18,5.3,11.2,9.5,17.8
6,Brazil,204259812,0.77,15200,-0.14,18.6,73.53,9.3,18.8,5.8,5.5
215,British Virgin Islands,33454,2.32,42300,17.28,12.98,78.46,null,null,4.4,8.7
175,Brunei,429646,1.62,77700,2.43,10.16,76.97,2.3,7.5,3.5,2.6
101,Bulgaria,7186893,-0.58,17100,-0.29,8.66,74.39,7.4,23.7,4.1,11
60,Burkina Faso,18931686,3.03,1700,0,75.32,55.12,6.2,2.3,3.4,77
25,Burma,56320206,1.01,4800,-0.28,43.55,66.29,1.8,4,0.8,5.1
84,Burundi,10742276,3.27,900,0,61.89,60.09,8.1,2.9,5.8,null
174,Cabo Verde,545993,1.36,6300,-0.63,23.45,71.85,3.9,10,5,21
69,Cambodia,15708756,1.58,3300,-0.32,50.04,64.14,5.4,2.1,2.6,0
53,Cameroon,23739218,2.59,3000,-0.15,53.63,57.93,5.1,10.3,3.2,30
39,Canada,35099836,0.75,44500,5.66,4.65,81.76,10.9,26.2,5.4,6.9
207,Cayman Islands,56092,2.1,43800,14.4,6.08,81.13,null,null,null,4
119,Central African Republic,5391539,2.13,600,0,90.63,51.81,3.8,3.5,1.2,8
77,Chad,11631456,1.89,2600,-3.45,88.69,49.81,3.5,2.7,2.3,null
64,Chile,17508260,0.82,23200,0.34,6.86,78.61,7.2,29.4,4.5,6.5
1,China,1367485388,0.45,12900,-0.44,12.44,75.41,5.4,5.7,null,4.1
233,Christmas Island,1530,1.11,null,null,null,null,null,null,null,null
237,Cocos (Keeling) Islands,596,0,null,null,null,null,null,null,null,60
30,Colombia,46736728,1.04,13500,-0.64,14.58,75.48,6.8,17.3,4.4,9.2
164,Comoros,780971,1.77,1700,-2.53,63.55,63.85,4.5,4.4,7.6,20
20,"Congo, Democratic Republic of the",79375136,2.45,700,-0.27,71.47,56.93,5.6,1.7,2.5,null
125,"Congo, Republic of the",4755097,2,6600,-5.9,57.92,58.79,3.2,4.7,6.2,53
224,Cook Islands,9838,-2.95,9100,null,13.87,75.6,3.4,63.7,3.1,13.1
124,Costa Rica,4814144,1.22,14900,0.83,8.46,78.4,10.1,23.7,6.3,8.5
55,Cote d'Ivoire,23295302,1.91,2900,0,58.7,58.34,7.1,6.2,4.6,null
126,Croatia,4464844,-0.13,20400,1.39,5.77,76.61,6.8,24.2,4.3,21
80,Cuba,11031433,-0.15,10200,-3.66,4.63,78.39,8.6,21.5,12.8,3.6
189,Curacao,146836,null,15000,1.27,null,77.98,null,null,null,13
161,Cyprus,1189197,1.43,28000,9.48,8.36,78.51,7.3,25.5,7.3,15.9
85,Czech Republic,10644842,0.16,28400,2.33,2.63,78.48,7.7,32.7,4.2,7.9
116,Denmark,5581503,0.22,44300,2.2,4.05,79.25,11.2,18.2,8.7,5.2
163,Djibouti,828324,2.2,3000,6.06,48.7,62.79,8.8,9.4,8.4,60
202,Dominica,73607,0.21,10700,-5.38,11.25,76.79,5.9,24.9,3.5,23
87,Dominican Republic,10478756,1.23,12800,-1.91,18.84,77.97,5.4,21.2,2.2,14.6
68,Ecuador,15868396,1.35,11400,0,17.38,76.56,6.4,21.4,4.4,5
16,Egypt,88487396,1.79,11100,-0.19,21.55,73.7,5,33.1,3.8,13.4
110,El Salvador,6141350,0.25,8000,-8.28,17.86,74.42,6.7,25.8,3.4,6.2
166,Equatorial Guinea,740743,2.51,32600,0,69.17,63.85,4.7,10.6,0.6,22.3
107,Eritrea,6527689,2.25,1200,0,37.53,63.81,2.6,1.5,2.1,8.6
158,Estonia,1265420,-0.55,26600,-3.6,3.85,76.47,5.9,20.6,5.7,8.6
14,Ethiopia,99465819,2.89,1500,-0.22,53.37,61.48,3.8,1.1,4.7,17.5
230,Falkland Islands (Islas Malvinas),3361,0.01,38300,null,null,null,null,null,null,4.1
212,Faroe Islands,50196,0.51,55400,0,5.6,80.24,null,null,null,5.5
162,Fiji,909389,0.67,30500,-6.75,9.94,72.43,4,30.6,4.2,7.6
117,Finland,5476922,0.4,8200,3.1,2.52,80.77,9.1,23,6.8,8.6
22,France,66553766,0.43,40500,1.09,3.28,81.75,11.7,18.2,5.9,9.7
